Model,Field,k,Method,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1
T5,1SOPTitle,3,Ours (BS+Clustering),31.11,12.51,29.58
T5,1SOPTitle,5,Ours (BS+Clustering),34.59,14.55,33.17
T5,1SOPTitle,10,Ours (BS+Clustering),38.68,17.13,37.46
T5,1SOPTitle,15,Ours (BS+Clustering),40.84,18.49,39.7
T5,1SOPTitle,20,Ours (BS+Clustering),42.07,19.33,41.04
T5,2BRTitle,3,Ours (BS+Clustering),39.83,17.63,37.83
T5,2BRTitle,5,Ours (BS+Clustering),42.83,19.67,41.08
T5,2BRTitle,10,Ours (BS+Clustering),46.77,22.69,45.31
T5,2BRTitle,15,Ours (BS+Clustering),48.96,24.49,47.63
T5,2BRTitle,20,Ours (BS+Clustering),50.39,25.76,49.16
T5,3PRDesc,3,Ours (BS+Clustering),38.22,25.06,35.11
T5,3PRDesc,5,Ours (BS+Clustering),40.02,26.25,37.05
T5,3PRDesc,10,Ours (BS+Clustering),42.5,27.91,39.79
T5,3PRDesc,15,Ours (BS+Clustering),43.95,28.93,41.34
T5,3PRDesc,20,Ours (BS+Clustering),44.72,29.4,42.22
BART,1SOPTitle,3,Ours (BS+Clustering),32.87,13.66,31.33
BART,1SOPTitle,5,Ours (BS+Clustering),36.06,15.61,34.61
BART,1SOPTitle,10,Ours (BS+Clustering),40.1,18.26,38.75
BART,1SOPTitle,15,Ours (BS+Clustering),42.23,19.83,41.04
BART,1SOPTitle,20,Ours (BS+Clustering),43.6,20.87,42.47
BART,2BRTitle,3,Ours (BS+Clustering),40.36,18.16,38.38
BART,2BRTitle,5,Ours (BS+Clustering),43.4,20.3,41.64
BART,2BRTitle,10,Ours (BS+Clustering),47.43,23.45,45.95
BART,2BRTitle,15,Ours (BS+Clustering),49.54,25.3,48.21
BART,2BRTitle,20,Ours (BS+Clustering),50.97,26.61,49.71
BART,3PRDesc,3,Ours (BS+Clustering),38.03,24.22,34.72
BART,3PRDesc,5,Ours (BS+Clustering),39.57,25.31,36.53
BART,3PRDesc,10,Ours (BS+Clustering),41.89,26.95,39.18
BART,3PRDesc,15,Ours (BS+Clustering),43.29,27.96,40.65
BART,3PRDesc,20,Ours (BS+Clustering),43.96,28.41,41.38
LiteratureModel,1SOPTitle,3,Ours (BS+Clustering),34.05,13.83,32.45
LiteratureModel,1SOPTitle,5,Ours (BS+Clustering),37.47,15.75,36.01
LiteratureModel,1SOPTitle,10,Ours (BS+Clustering),41.31,18.43,40.02
LiteratureModel,1SOPTitle,15,Ours (BS+Clustering),43.2,19.73,42.04
LiteratureModel,1SOPTitle,20,Ours (BS+Clustering),44.52,20.74,43.44
LiteratureModel,2BRTitle,3,Ours (BS+Clustering),38.96,17.55,36.88
LiteratureModel,2BRTitle,5,Ours (BS+Clustering),42.03,19.47,40.12
LiteratureModel,2BRTitle,10,Ours (BS+Clustering),45.48,21.83,43.83
LiteratureModel,2BRTitle,15,Ours (BS+Clustering),47.17,23.07,45.63
LiteratureModel,2BRTitle,20,Ours (BS+Clustering),48.23,23.86,46.74
LiteratureModel,3PRDesc,3,Ours (BS+Clustering),39.3,25.32,37.75
LiteratureModel,3PRDesc,5,Ours (BS+Clustering),40.85,26.16,39.32
LiteratureModel,3PRDesc,10,Ours (BS+Clustering),42.23,26.82,40.85
LiteratureModel,3PRDesc,15,Ours (BS+Clustering),42.91,27.2,41.6
LiteratureModel,3PRDesc,20,Ours (BS+Clustering),43.27,27.42,41.99
T5,1SOPTitle,1,BS Top-k,22.8,8.408,21.32
T5,1SOPTitle,3,BS Top-k,28.02,11.23,26.64
T5,1SOPTitle,5,BS Top-k,30.66,12.7,29.29
T5,1SOPTitle,10,BS Top-k,33.92,14.71,32.67
T5,1SOPTitle,15,BS Top-k,35.85,15.9,34.64
T5,1SOPTitle,20,BS Top-k,37.21,16.84,36.08
T5,2BRTitle,1,BS Top-k,32.16,13.04,29.65
T5,2BRTitle,3,BS Top-k,38.15,17.07,36.02
T5,2BRTitle,5,BS Top-k,40.87,19.04,38.89
T5,2BRTitle,10,BS Top-k,44.31,21.7,42.59
T5,2BRTitle,15,BS Top-k,46.27,23.22,44.68
T5,2BRTitle,20,BS Top-k,47.65,24.37,46.14
T5,3PRDesc,1,BS Top-k,32.87,21.76,29.94
T5,3PRDesc,3,BS Top-k,36.58,24.01,33.52
T5,3PRDesc,5,BS Top-k,38.01,25.01,35.01
T5,3PRDesc,10,BS Top-k,39.78,26.07,36.77
T5,3PRDesc,15,BS Top-k,40.65,26.58,37.66
T5,3PRDesc,20,BS Top-k,41.3,26.99,38.35
BART,1SOPTitle,1,BS Top-k,24.48,9.306,22.78
BART,1SOPTitle,3,BS Top-k,30.08,12.56,28.57
BART,1SOPTitle,5,BS Top-k,32.69,14.09,31.31
BART,1SOPTitle,10,BS Top-k,36.11,16.36,34.87
BART,1SOPTitle,15,BS Top-k,38.17,17.76,36.95
BART,1SOPTitle,20,BS Top-k,39.47,18.72,38.3
BART,2BRTitle,1,BS Top-k,32.65,13.44,30.1
